brand_id,model_id,brand_name,model_name,image_count,years,minimum_year,maximum_year,unknown_year_images,suspicious_years,valid_labels,missing_labels,malformed_labels,invalid_bounding_boxes,viewpoint_unknown,viewpoint_1,viewpoint_2,viewpoint_3,viewpoint_4,viewpoint_5
1,1101,ABT,ABT A3,18,2011,2011,2011,0,,18,0,0,0,0,4,2,2,6,4
1,1102,ABT,ABT A4,12,2011;2012,2011,2012,0,,12,0,0,0,0,2,1,0,4,5
1,1103,ABT,ABT A5,28,2011;2013;2015,2011,2015,0,,28,0,0,0,0,4,4,3,8,9
1,1104,ABT,ABT A8,2,2010,2010,2010,0,,2,0,0,0,0,0,0,0,1,1
1,1105,ABT,ABT A6,7,2011,2011,2011,0,,7,0,0,0,0,0,0,1,3,3
1,1106,ABT,ABT Q7,4,2009,2009,2009,0,,4,0,0,0,0,0,0,1,2,1
1,1107,ABT,ABT TT,15,2010;2011,2010,2011,0,,15,0,0,0,0,1,2,1,6,5
1,1108,ABT,ABT A7,4,2010,2010,2010,0,,4,0,0,0,0,0,0,1,2,1
1,1109,ABT,ABT Q3,8,2011,2011,2011,0,,8,0,0,0,0,0,0,2,3,3
1,1110,ABT,ABT Q5,15,2011;2012,2011,2012,0,,15,0,0,0,0,1,2,3,5,4
1,1112,ABT,ABT RS 4,12,2013,2013,2013,0,,12,0,0,0,0,2,0,0,6,4
1,1113,ABT,ABT A1,8,2012,2012,2012,0,,8,0,0,0,0,0,0,2,2,4
2,1308,BAC,BAC Mono,24,2013,2013,2013,0,,24,0,0,0,0,4,4,3,8,5
3,1758,Conquest,Knight XV,35,2009,2009,2009,0,,35,0,0,0,0,4,2,3,20,6
4,509,DS,DS 5,120,2012;2013;2014,2012,2014,0,,120,0,0,0,0,17,17,25,37,24
4,510,DS,DS 6,120,2014,2014,2014,0,,120,0,0,0,0,17,14,22,43,24
4,511,DS,DS 5LS,119,2014,2014,2014,0,,119,0,0,0,0,25,13,20,38,23
4,512,DS,DS 3,120,2012;2013;2014;2015,2012,2015,0,,119,0,0,1,7,14,11,24,36,27
4,514,DS,DS Wild Rubis,28,2013;2014,2013,2014,0,,28,0,0,0,0,3,2,5,12,6
4,515,DS,DS 9,25,2012;2013,2012,2013,0,,25,0,0,0,1,1,0,6,12,5
4,516,DS,DS 4,120,2012,2012,2012,0,,120,0,0,0,0,13,8,29,37,33
5,1039,Dacia,Dokker,62,2013,2013,2013,0,,62,0,0,0,0,9,5,16,21,11
5,1040,Dacia,Duster,120,2009;2011;2014,2009,2014,0,,120,0,0,0,3,4,0,21,65,27
5,1041,Dacia,Logan,120,2005;2006;2007;2013;2014,2005,2014,0,,120,0,0,0,4,4,3,26,48,35
5,1042,Dacia,Sandero,97,2009;2010;2013,2009,2013,0,,97,0,0,0,2,1,1,12,54,27
5,1043,Dacia,Lodgy,25,2013,2013,2013,0,,25,0,0,0,0,5,2,3,6,9
6,1773,Fisker,Atlantic,16,2012,2012,2012,0,,16,0,0,0,2,0,3,4,6,1
6,1774,Fisker,Surf,54,2011,2011,2011,0,,54,0,0,0,0,4,6,17,10,17
6,1775,Fisker,Latigo,13,2006,2006,2006,0,,13,0,0,0,0,0,2,2,7,2
6,1776,Fisker,Tramonto,13,2006,2006,2006,0,,13,0,0,0,0,1,1,3,4,4
6,1777,Fisker,Karma,87,2013,2013,2013,0,,87,0,0,0,0,10,7,6,55,9
7,681,GMC,GMC3500,15,2011,2011,2011,0,,15,0,0,0,0,2,1,1,6,5
7,682,GMC,Yukon,120,2007;2008;2013;2015,2007,2015,0,,120,0,0,0,0,14,6,14,60,26
