class_index,brand_id,model_id,brand_name,model_name,normalized_brand,normalized_model,image_count,years,minimum_year,maximum_year,unknown_year_images,suspicious_years,valid_labels,missing_labels,malformed_labels,invalid_bounding_boxes,viewpoint_unknown,viewpoint_1,viewpoint_2,viewpoint_3,viewpoint_4,viewpoint_5
0,139,1639,Acura,Acura ILX,Acura,ILX,120,2013;2015,2013,2015,0,,120,0,0,0,0,9,8,15,48,40
1,139,1640,Acura,Acura MDX,Acura,MDX,120,2008;2010;2011;2013;2014,2008,2014,0,,120,0,0,0,0,19,13,28,36,24
2,139,1646,Acura,Acura NSX,Acura,NSX,96,2012;2015;2016,2012,2016,0,,96,0,0,0,2,12,12,20,29,21
3,139,1641,Acura,Acura RDX,Acura,RDX,120,2013;2015,2013,2015,0,,120,0,0,0,0,11,10,22,54,23
4,139,1642,Acura,Acura RL,Acura,RL,120,2006;2008;2009;2010,2006,2010,0,,120,0,0,0,0,16,9,15,63,17
5,139,1643,Acura,Acura RLX,Acura,RLX,117,2013;2014;2015,2013,2015,0,,117,0,0,0,0,16,9,15,52,25
6,139,1644,Acura,Acura TL,Acura,TL,120,2009;2010;2012;2014,2009,2014,0,,120,0,0,0,0,15,7,20,49,29
7,139,1648,Acura,Acura TLX,Acura,TLX,120,2014;2015,2014,2015,0,,120,0,0,0,0,13,10,28,46,23
8,139,1645,Acura,Acura ZDX,Acura,ZDX,120,2009;2012;2013,2009,2013,0,,120,0,0,0,0,13,11,13,54,29
9,153,1749,Alfa Romeo,4C,Alfa Romeo,4C,120,2011;2012;2014;2015;2016,2011,2016,0,,120,0,0,0,7,13,8,23,40,29
10,153,1756,Alfa Romeo,8C,Alfa Romeo,8C,72,2009,2009,2009,0,,72,0,0,0,0,2,4,10,37,19
11,153,1752,Alfa Romeo,Disco Volante,Alfa Romeo,Disco Volante,51,2012;2013,2012,2013,0,,51,0,0,0,7,10,7,3,12,12
12,153,1748,Alfa Romeo,Giulietta,Alfa Romeo,Giulietta,120,2011;2013;2014;2015,2011,2015,0,,120,0,0,0,0,12,3,9,75,21
13,153,1746,Alfa Romeo,MiTo,Alfa Romeo,MiTo,120,2009;2010;2014;2015,2009,2015,0,,120,0,0,0,0,5,4,18,68,25
14,154,1059,Aston Martin,Cygnet,Aston Martin,Cygnet,102,2009;2011;2012;2013,2009,2013,0,,102,0,0,0,0,13,7,18,41,23
15,154,1051,Aston Martin,DB9,Aston Martin,DB9,120,2007;2011;2013;2014,2007,2014,0,,120,0,0,0,1,10,3,20,62,24
16,154,1063,Aston Martin,DBS,Aston Martin,DBS,108,2007;2009;2010;2011;2012,2007,2012,0,,108,0,0,0,2,14,10,6,44,32
17,154,1060,Aston Martin,Lagonda,Aston Martin,Lagonda,52,2009;2013;2015;2016,2009,2016,0,,52,0,0,0,0,4,1,16,17,14
18,154,1058,Aston Martin,ONE-77,Aston Martin,ONE-77,90,2010;2013,2010,2013,24,,90,0,0,0,1,11,6,14,33,25
19,154,1052,Aston Martin,Rapide,Aston Martin,Rapide,120,2010;2013;2014;2015,2010,2015,0,,120,0,0,0,0,17,6,10,60,27
20,154,1053,Aston Martin,V12 Vantage,Aston Martin,V12 Vantage,120,2009;2012;2014;2015,2009,2015,0,,120,0,0,0,2,11,4,23,51,29
21,154,1054,Aston Martin,V8 Vantage,Aston Martin,V8 Vantage,115,2011;2012;2013;2014;2015,2011,2015,0,,115,0,0,0,1,11,6,13,52,32
22,154,1055,Aston Martin,Vanquish,Aston Martin,Vanquish,120,2013;2014;2015,2013,2015,0,,120,0,0,0,0,7,5,16,54,38
23,154,1056,Aston Martin,Virage,Aston Martin,Virage,118,2012;2014,2012,2014,0,,118,0,0,0,1,9,10,7,54,37
24,78,19,Audi,Audi A1,Audi,A1,120,2012;2013;2014;2015,2012,2015,0,,120,0,0,0,0,14,15,24,41,26
25,78,1,Audi,Audi A3 hatchback,Audi,A3 hatchback,140,2010;2012;2013;2014,2010,2014,0,,140,0,0,0,0,18,21,28,39,34
26,78,11,Audi,Audi A3 sedan,Audi,A3 sedan,68,2014,2014,2014,0,,68,0,0,0,0,9,8,14,19,18
27,78,2,Audi,Audi A4L,Audi,A4L,166,2009;2010;2011;2012;2013;2015,2009,2015,0,,166,0,0,0,0,29,26,34,42,35
28,78,22,Audi,Audi A5 convertible,Audi,A5 convertible,154,2010;2012;2013;2014,2010,2014,0,,154,0,0,0,1,17,16,27,49,44
29,78,23,Audi,Audi A5 coupe,Audi,A5 coupe,197,2008;2009;2010;2012;2013;2014,2008,2014,0,,197,0,0,0,1,29,27,34,57,49
30,78,24,Audi,Audi A5 hatchback,Audi,A5 hatchback,229,2009;2010;2011;2012;2013;2014,2009,2014,0,,229,0,0,0,1,27,25,43,71,62
31,78,9,Audi,Audi A6,Audi,A6,120,2004;2012;2013;2014;2015,2004,2015,0,,120,0,0,0,1,15,7,16,52,29
32,78,3,Audi,Audi A6L,Audi,A6L,135,2009;2010;2011;2012;2014,2009,2014,0,,135,0,0,0,0,21,19,22,42,31
33,78,26,Audi,Audi A7,Audi,A7,119,2009;2012;2013;2014;2015,2009,2015,0,,119,0,0,0,3,13,14,22,40,27
34,78,27,Audi,Audi A8L,Audi,A8L,179,2009;2010;2011;2012;2013;2014;2015,2009,2015,0,,179,0,0,0,0,21,18,38,47,55
35,78,61,Audi,Crosslane Coupe,Audi,Crosslane Coupe,54,2012,2012,2012,0,,54,0,0,0,3,2,2,13,19,15
36,78,50,Audi,Audi e-tron,Audi,e-tron,120,2009;2010;2011,2009,2011,0,,120,0,0,0,3,13,13,22,31,38
37,78,4,Audi,Audi Q3,Audi,Q3,120,2012;2013;2015,2012,2015,0,,120,0,0,0,0,16,18,20,37,29
38,78,5,Audi,Audi Q5,Audi,Q5,153,2010;2011;2012;2013,2010,2013,0,,153,0,0,0,0,22,17,29,48,37
39,78,32,Audi,Audi Q7,Audi,Q7,145,2010;2011;2012;2013;2014,2010,2014,0,,145,0,0,0,0,25,20,29,39,32
40,78,47,Audi,Audi quattro,Audi,quattro,109,2010;2013;2014,2010,2014,0,,109,0,0,0,2,20,12,16,34,25
41,78,53,Audi,Audi R18,Audi,R18,51,2012;2014,2012,2014,0,,51,0,0,0,4,9,1,7,22,8
42,78,33,Audi,Audi R8,Audi,R8,120,2010;2011;2013;2014;2015;2016,2010,2016,0,,120,0,0,0,0,17,13,13,41,36
43,78,15,Audi,Audi RS Q3,Audi,RS Q3,120,2012;2014;2015,2012,2015,0,,120,0,0,0,0,8,5,15,46,46
44,78,16,Audi,Audi RS3,Audi,RS3,76,2012;2015;2016,2012,2016,0,,76,0,0,0,0,9,4,5,30,28
45,78,14,Audi,Audi RS4,Audi,RS4,118,2006;2013;2014,2006,2014,0,,118,0,0,0,1,10,9,15,51,32
46,78,12,Audi,Audi RS5,Audi,RS5,120,2012;2013;2014;2015,2012,2015,0,,120,0,0,0,1,19,10,20,40,30
47,78,18,Audi,Audi RS6,Audi,RS6,120,2002;2009;2013;2015,2002,2015,0,,120,0,0,0,0,13,7,10,56,34
48,78,13,Audi,Audi RS7,Audi,RS7,120,2014;2015,2014,2015,0,,120,0,0,0,3,14,7,23,36,37
49,78,57,Audi,Audi S1,Audi,S1,105,2013;2014;2015,2013,2015,0,,105,0,0,0,0,12,7,10,34,42
50,78,62,Audi,Audi S3 sedan,Audi,S3 sedan,51,2015,2015,2015,0,,51,0,0,0,0,4,3,12,19,13
51,78,63,Audi,Audi S4,Audi,S4,99,2008;2013,2008,2013,0,,99,0,0,0,0,6,6,13,42,32
52,78,34,Audi,Audi S5 convertible,Audi,S5 convertible,65,2010;2012,2010,2012,0,,65,0,0,0,0,8,8,12,16,21
53,78,35,Audi,Audi S5 coupe,Audi,S5 coupe,60,2008;2010;2012;2014,2008,2014,0,,60,0,0,0,1,2,2,13,29,13
54,78,38,Audi,Audi S7,Audi,S7,120,2013;2015,2013,2015,0,,120,0,0,0,0,12,9,20,38,41
55,78,39,Audi,Audi S8,Audi,S8,120,2008;2009;2013;2014;2015,2008,2015,0,,120,0,0,0,0,10,8,17,49,36
56,78,40,Audi,Audi SQ5,Audi,SQ5,120,2013;2014,2013,2014,0,,120,0,0,0,0,14,11,17,43,35
57,78,44,Audi,Audi TT coupe,Audi,TT coupe,85,2011;2013;2014;2015,2011,2015,0,,85,0,0,0,1,9,10,14,31,20
58,78,17,Audi,Audi TT RS,Audi,TT RS,120,2009;2010;2012;2013,2009,2013,0,,120,0,0,0,1,18,8,15,45,33
59,78,42,Audi,Audi TTS coupe,Audi,TTS coupe,66,2011;2013;2015,2011,2015,0,,66,0,0,0,0,9,3,10,27,17
60,83,373,Bentley,Arnage,Bentley,Arnage,52,2006;2009,2006,2009,0,,52,0,0,0,3,2,3,20,17,7
61,83,372,Bentley,Brooklands,Bentley,Brooklands,59,2008,2008,2008,0,,59,0,0,0,1,2,2,12,31,11
62,83,368,Bentley,Flying Spur,Bentley,Flying Spur,120,2010;2012;2013;2014,2010,2014,0,,120,0,0,0,0,18,10,21,41,30
63,83,374,Bentley,Mulsanne,Bentley,Mulsanne,120,2011;2012;2013;2014;2015,2011,2015,0,,120,0,0,0,0,18,11,17,47,27
64,83,369,Bentley,Super Sport,Bentley,Super Sport,120,2010;2012;2013;2014;2015,2010,2015,0,,120,0,0,0,1,20,11,25,38,25
65,81,83,BWM,BWM 1 Series couple,BMW,1 Series couple,67,2011;2013,2011,2013,0,,67,0,0,0,0,9,9,7,24,18
66,81,118,BWM,BWM 1 Series hatchback,BMW,1 Series hatchback,67,2010;2012;2013,2010,2013,0,,67,0,0,0,0,9,10,17,14,17
67,81,71,BWM,BWM 1 Series M,BMW,1 Series M,119,2011,2011,2011,0,,119,0,0,0,7,15,10,19,43,25
68,81,84,BWM,BWM 2 Series,BMW,2 Series,119,2014;2015,2014,2015,0,,119,0,0,0,0,13,9,19,54,24
69,81,122,BWM,BWM 2 Series Active Tourer,BMW,2 Series Active Tourer,120,2014;2015,2014,2015,0,,120,0,0,0,0,11,8,26,45,30
70,81,68,BWM,BWM 3 Series,BMW,3 Series,283,2008;2009;2010;2011;2012;2013;2014,2008,2014,0,,283,0,0,0,0,47,38,46,81,71
71,81,86,BWM,BWM 3 Series convertible,BMW,3 Series convertible,120,2008;2010;2011;2012,2008,2012,0,,120,0,0,0,0,17,15,22,35,31
72,81,89,BWM,BWM 3 Series coupe,BMW,3 Series coupe,99,2007;2009;2011,2007,2011,0,,99,0,0,0,0,18,12,26,24,19
73,81,88,BWM,BWM 3 Series estate,BMW,3 Series estate,123,2013;2014,2013,2014,0,,123,0,0,0,0,14,13,21,44,31
74,81,85,BWM,BWM 3 Series GT,BMW,3 Series GT,120,2013;2014,2013,2014,0,,120,0,0,0,0,11,15,21,40,33
75,81,91,BWM,BWM 4 Series convertible,BMW,4 Series convertible,94,2014,2014,2014,0,,94,0,0,0,0,11,13,14,29,27
76,81,92,BWM,BWM 4 Series couple,BMW,4 Series couple,60,2013;2014,2013,2014,0,,60,0,0,0,0,11,9,6,20,14
77,81,70,BWM,BWM 5 Series,BMW,5 Series,233,2009;2010;2011;2012;2013;2014,2009,2014,0,,233,0,0,0,0,42,33,39,65,54
78,81,96,BWM,BWM 5 Series estate,BMW,5 Series estate,125,2012;2013;2014,2012,2014,0,,125,0,0,0,0,15,14,27,41,28
79,81,94,BWM,BWM 5 Series GT,BMW,5 Series GT,120,2010;2011;2013;2014;2015,2010,2015,0,,120,0,0,0,0,21,15,18,33,33
80,81,100,BWM,BWM 6 Series,BMW,6 Series,61,2012;2013;2014,2012,2014,0,,61,0,0,0,0,9,8,11,18,15
81,81,98,BWM,BWM 6 Series convertible,BMW,6 Series convertible,71,2008;2011,2008,2011,0,,71,0,0,0,0,9,12,20,13,17
82,81,99,BWM,BWM 6 Series couple,BMW,6 Series couple,94,2008;2010;2012;2013,2008,2013,0,,94,0,0,0,0,14,11,19,31,19
83,81,101,BWM,BWM 7 Series,BMW,7 Series,119,2009;2010;2011;2013;2014;2015,2009,2015,0,,119,0,0,0,0,20,16,23,34,26
84,81,114,BWM,Active Tourer,BMW,Active Tourer,120,2012;2013;2015,2012,2015,0,,120,0,0,0,1,14,8,25,45,27
